id,customer_id,payment_id,risk_level,recovery_probability,status,assigned_channel,amount,created_at,recovered_at
86a28aac-07ff-4481-8322-edb2d38565b3,efbff522-9823-48c7-9d4c-dbc3e1513756,08f0520b-892a-4480-8fed-10aecd3af2d3,low,0.687,link_opened,email,2715.83,2026-08-20T16:13:51.175565+00:00,
e1abfd71-a970-48a7-96b0-4403db360c82,17f8bfd6-86db-4a3d-b04e-d90b498b960e,3cff49ed-2163-4248-b318-888201d5ceee,medium,0.396,recovered,whatsapp,8151.44,2026-06-24T05:56:51.175565+00:00,2026-06-24T16:56:51.175565+00:00
fd2198b5-6fe8-45cc-a231-12cf7df2875b,af846ea3-adee-41fa-97a7-fac1ac04a25f,1032d5e8-b710-47e8-9c8b-a0fcf0ffbeab,medium,0.641,recovered,sms,881.98,2026-07-26T11:06:51.175565+00:00,2026-07-28T20:06:51.175565+00:00
54ea8e5b-d997-419e-9586-13663341d13c,c23a897c-dcb2-4a13-88b4-946f7d951c97,7d4a0159-0956-4335-ad5e-ecd934b830c2,medium,0.492,recovered,voice_call,1969.95,2026-06-03T09:33:51.175565+00:00,2026-06-06T04:33:51.175565+00:00
2795645d-9323-434a-8cd4-565a76fe6dfd,f320f036-ae03-47ab-b6bf-d18f432070cc,1e93c190-f00f-4e56-ac9e-c9d6db33861d,low,0.791,recovered,email,3486.91,2026-07-27T22:40:51.175565+00:00,2026-07-29T13:40:51.175565+00:00
8ce96c5e-832c-454b-9b24-4bdf91cb7f73,3599ed27-359f-4eb7-b66d-6d77ccb61afa,6e844118-d7f8-4962-92eb-e28233d07d58,medium,0.431,lost,voice_call,3025.66,2026-07-02T04:11:51.175565+00:00,
3dfad29b-8097-4588-a882-d585406a4036,e62cf44d-97e2-472b-90cb-f789da03423b,ea10de4b-e77b-4875-a656-7e7a49687e2f,low,0.898,recovered,sms,1949.69,2026-08-16T19:39:51.175565+00:00,2026-08-18T19:39:51.175565+00:00
4464a883-a155-44d1-a5af-bd028187098f,1c868f4f-fb87-4945-853a-7296fa20e032,7bea8edb-a98a-486b-8202-6c2f0e401606,high,0.15,lost,whatsapp,5906.02,2026-05-29T18:04:51.175565+00:00,
84a083e9-4145-49c8-b760-d2ab96dc876c,d0ffed11-d204-414d-b197-d375bf2232a0,8d11a05c-ca73-412b-941f-77479254e69e,medium,0.49,lost,whatsapp,1063.5,2026-07-02T04:08:51.175565+00:00,
d984505c-6e3e-4936-bce2-de43b7485914,4622cb50-945c-4f96-8f6a-0f6f2351bc02,b8aff81a-7866-4af1-8722-0ddab9bb9a3c,low,0.773,recovered,sms,499.0,2026-05-28T00:11:51.175565+00:00,2026-05-29T10:11:51.175565+00:00
10d2caa9-9b02-4571-9c9f-9c30f9467fab,93fab49d-a243-4c73-9c67-ef089f4f4bf1,45e1c62f-6deb-4f68-a7ff-bbd9a8ba027a,medium,0.364,recovered,whatsapp,1530.2,2026-07-29T10:58:51.175565+00:00,2026-08-01T01:58:51.175565+00:00
72b702da-5892-4319-a91b-1fe674717d81,ca832746-b0be-4de2-a6c9-9d57450e86b4,da489b50-4833-4a3c-b95b-fbae9711e6ea,low,0.794,recovered,whatsapp,499.0,2026-06-14T05:32:51.175565+00:00,2026-06-15T14:32:51.175565+00:00
3697be5e-cc46-473e-976c-2e7c06a30550,95845102-c754-4065-8853-5e6540a3c1a8,5b20beba-8e09-4e96-ad06-85b84a34ec68,medium,0.646,recovered,email,3368.58,2026-07-29T23:21:51.175565+00:00,2026-07-31T08:21:51.175565+00:00
47c4014d-b8db-4642-9ac6-f8ee49455882,2e71de90-4c05-4849-b6c7-254d53eeb8e4,b16dd561-775a-4b31-bb56-d4065a5ffabe,low,0.864,recovered,email,1872.67,2026-06-17T05:17:51.175565+00:00,2026-06-17T12:17:51.175565+00:00
6b3b2933-b4fe-4917-86e2-30bd0f804c9c,5dd5a776-0326-402c-bf7d-2ace3ad789d4,9145233e-7142-4dc3-9700-37f86ec1c200,medium,0.466,recovered,whatsapp,3156.97,2026-06-17T12:54:51.175565+00:00,2026-06-17T16:54:51.175565+00:00
c3b8c3e0-48c4-481d-afd3-a59296d00ecc,eeb193ae-dd04-4d4d-8d2b-331a4d386d3b,0799bbba-bbdf-43cb-b143-66fda461bcf1,low,0.733,recovered,whatsapp,705.33,2026-07-12T10:33:51.175565+00:00,2026-07-14T00:33:51.175565+00:00
48bf3ab7-d47b-4d6a-b26c-fb33d1ac7e12,a952a6ec-a092-47ca-93f1-9bb7bcd2832f,49ff5f3e-b199-4df3-a21d-97a830d64cb9,medium,0.649,recovered,email,1710.94,2026-06-15T10:22:51.175565+00:00,2026-06-16T13:22:51.175565+00:00
cc20101b-c6b8-4abc-878a-c6109da9e743,90ce5d02-7e16-411a-8a32-1466abaebe66,abb419b5-276b-44f4-b1dd-253ccd59209d,medium,0.584,lost,email,2997.5,2026-06-17T00:38:51.175565+00:00,
e871e6df-9b05-4e70-8974-c9a8981e34a9,2bd21fc6-959e-45aa-9040-db6e4b162fd4,3b438516-7a14-4527-b037-217e470a96e7,low,0.801,recovered,whatsapp,2159.89,2026-06-16T12:49:51.175565+00:00,2026-06-17T04:49:51.175565+00:00
434cbedf-691a-4a62-9e21-c9016e6a69d4,201f0b26-b327-452d-980e-4199510302f6,b3b77a3c-e304-403c-92e4-8fe0778f9ce3,low,0.895,recovered,sms,1400.65,2026-06-01T04:32:51.175565+00:00,2026-06-01T10:32:51.175565+00:00
d000aea0-4f00-4a7b-915c-65665db107a5,610b5657-e5ee-4b5d-b665-1f35b6c2764e,54d1d5ac-4f9b-443d-8438-8f833b1d1933,low,0.691,lost,whatsapp,994.34,2026-07-05T16:03:51.175565+00:00,
b86aff25-21cb-4758-92d4-f29dde2d46e8,3bd1f4de-d0b0-4d80-ad24-5c386154df7b,4391d509-c4df-4337-a1eb-a968edc98c4a,low,0.716,recovered,whatsapp,2627.83,2026-07-13T02:16:51.175565+00:00,2026-07-15T22:16:51.175565+00:00
562a9a4a-fb33-4ba5-8f58-a6e93b093870,10b9e437-38e0-490d-b369-2ad20a812dc0,08879e42-fc23-4609-bf4b-644e9e896c52,low,0.728,recovered,email,5168.59,2026-08-08T02:30:51.175565+00:00,2026-08-09T02:30:51.175565+00:00
c0570e5b-b65c-49f0-99c2-3d7c5a03094e,d8958cd1-3a6c-4cb3-b1ae-08522ba9b348,93b3fcb3-f548-4e72-a77c-a1e1f0af8053,medium,0.537,lost,whatsapp,1490.4,2026-08-04T04:36:51.175565+00:00,
34466846-51ae-4692-becc-bc5391e38bbd,3a4fd6a6-2053-4bda-8ed1-c08e96f12de2,b6c3bdfa-1696-4718-8c90-8508bdbc6da6,low,0.741,recovered,email,3210.56,2026-07-31T02:22:51.175565+00:00,2026-08-01T09:22:51.175565+00:00
482d8d00-3a1c-4552-9224-0251b2d15f1d,33b43e5b-47dd-4b77-9f98-5e253ca1edb7,a4f48ef2-c1b8-4ee0-9031-8714bf131bc1,medium,0.551,lost,email,13505.3,2026-06-01T19:00:51.175565+00:00,
4fce3777-b4e3-4478-9fc6-073696c6a72d,0df3bf34-b99e-4924-b45c-3513261f11ca,56dfaa35-c0dd-4361-a5d4-6e64ee43ae09,low,0.834,recovered,whatsapp,2197.98,2026-06-11T08:36:51.175565+00:00,2026-06-13T03:36:51.175565+00:00
a3e96d84-b2a5-415f-8038-ae9560860bef,eec2f15a-dfa7-4e55-b295-a4ebc457d3c6,2cea5e76-8998-42e9-9537-9b9979b3c398,low,0.769,recovered,whatsapp,586.17,2026-08-01T12:31:51.175565+00:00,2026-08-02T16:31:51.175565+00:00
3b5aad5a-981d-4cc2-b85e-5d2173f96fd8,40bf900c-805c-4f81-b51a-164fb4b07db4,53ab3397-96cf-4652-a60b-8f7606a50218,low,0.781,recovered,email,2706.07,2026-07-24T04:45:51.175565+00:00,2026-07-26T11:45:51.175565+00:00
e442a82c-dbb6-46f3-8aca-728ce9c386d7,58ccddea-9cd0-4bdf-89b4-a1f80c9801cd,52dc1edd-10d2-4b91-a8bc-1b07a8d5c9c1,low,0.851,recovered,voice_call,1401.25,2026-08-06T07:59:51.175565+00:00,2026-08-07T01:59:51.175565+00:00
7403b6f1-f5be-40a4-b057-4d2de3ec3710,057f826b-c0e3-4c34-9cb0-c39a4be3ddf2,0af23a51-899f-4c27-8c41-4991e72661fa,low,0.709,lost,whatsapp,3646.59,2026-06-10T03:11:51.175565+00:00,
554a6411-4a31-467a-a917-870c9ed4fcc7,4b092d01-1796-4db0-98de-424633b0fd1d,d825c63f-a07e-40db-9329-2cb45957fd36,medium,0.472,recovered,email,3279.85,2026-06-01T07:55:51.175565+00:00,2026-06-02T02:55:51.175565+00:00
17d73569-1a41-4ee8-8d26-b5937b75991e,103757c1-08fa-42ac-a2bd-e9d18736fbe3,2879454e-b478-4212-963b-7f6a59d3a069,medium,0.477,lost,email,4931.16,2026-07-22T21:44:51.175565+00:00,
b611fda7-683c-4f14-a774-7e48259036f0,48f36021-488e-4632-b349-82944452e0da,a1a7e0fd-7d09-4fab-91c7-9397613743ef,medium,0.429,recovered,email,2754.1,2026-08-09T05:45:51.175565+00:00,2026-08-11T06:45:51.175565+00:00
527c3e36-06fe-41bd-b17c-b7ce6d5db89d,88818099-d3a8-4b3b-92c0-a3932941d53c,cab39d67-4a0e-41fd-91fd-0e901d7a1108,low,0.7,lost,whatsapp,1415.29,2026-06-25T04:35:51.175565+00:00,
2264068a-e16f-4bd3-9bcd-2a76b89d8985,d46497dc-853d-4fb1-8257-e5975ba17fff,9d97ad12-ef4d-4395-96b1-6aad2257f818,medium,0.512,recovered,email,1160.75,2026-07-03T05:22:51.175565+00:00,2026-07-04T01:22:51.175565+00:00
